seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000900,J,10,3,10+,6,True,-3.0841676000000007,-30.841676000000007,0,1,19.20837922490864,2170.1219627341216,0.008851290183114011,-19.20837922490864,-5,-5,1,1,-3.8416758449789086,-25.0,-5.0,0.0,3.0
52000900,M,10,3,10+,6,True,-3.0841676000000007,-30.841676000000007,0,1,19.20837922490864,2170.1219627341216,0.008851290183114011,-19.20837922490864,-5,-5,1,1,-3.8416758449789086,-25.0,-5.0,0.0,3.0
52000901,J,11,7,10+,6,True,-34.8712184545455,-383.5834030000001,0,0,1887.9170148623016,2837.746761689121,0.6652873471128731,-1887.9170148623016,-1,-1,0,0,-377.58340297246104,-5.0,-1.0,0.0,0.0
52000901,M,11,7,10+,6,True,-36.023744545454576,-396.26119000000017,0,2,2011.3059499405845,2837.746761689121,0.7087686530363226,-2011.3059499405845,1,-5,2,2,-402.2611899881176,5.0,-5.0,0.0,6.0
52000902,J,12,8,10+,6,True,-7.103315500000008,-85.2397860000001,2,2,426.1989304864419,1720.5574096167638,0.2477097992222028,-426.1989304864419,0,0,0,0,-85.23978609728829,0.0,0.0,0.0,0.0
52000902,M,12,8,10+,6,True,-13.014261583333337,-156.17113900000004,2,1,620.8556970282498,1720.5574096167638,0.3608456733603204,-620.8556970282498,-5,-4,-1,-1,-124.17113940565014,-25.0,-4.0,0.0,-3.0
52000903,J,13,6,10+,6,True,-0.22543184615383893,-2.9306139999998777,1,1,-55.34692766541775,793.343535794429,-0.06976413768846694,55.34692766541775,-3,1,0,0,11.069385533082823,-15.0,1.0,0.0,0.0
52000903,M,13,6,10+,6,True,-4.248053846153823,-55.22469999999976,1,1,156.12350053764385,793.343535794429,0.19679179761804794,-156.12350053764385,-5,1,0,0,-31.22470010752977,-25.0,1.0,0.0,0.0
52000904,J,14,4,10+,6,True,-9.274361999999996,-129.84106799999972,2,1,504.2053391369409,2478.8606036084693,0.20340205431599132,-504.2053391369409,-5,-1,-1,-1,-100.841067827389,-25.0,-1.0,0.0,-3.0
52000904,M,14,4,10+,6,True,-9.274361999999996,-129.84106799999972,2,1,504.2053391369409,2478.8606036084693,0.20340205431599132,-504.2053391369409,-5,-1,-1,-1,-100.841067827389,-25.0,-1.0,0.0,-3.0
52000905,J,15,4,10+,6,True,-24.605563799999942,-369.0834569999997,1,1,2195.4172880676742,3687.4865531695705,0.5953695712274825,-2195.4172880676742,12,10,0,0,-439.08345761353485,60.0,10.0,0.0,0.0
52000905,M,15,4,10+,6,True,-16.562430199999966,-248.4364529999998,1,1,1662.1822675869662,3687.4865531695705,0.4507629366562005,-1662.1822675869662,15,9,0,0,-332.4364535173918,75.0,9.0,0.0,0.0
52000907,J,10,4,10+,6,True,-4.128798700000004,-41.28798700000016,0,0,206.43993606132972,1222.540784831137,0.16886138983890353,-206.43993606132972,0,0,0,0,-41.28798721226576,0.0,0.0,0.0,0.0
52000907,M,10,4,10+,6,True,-4.852897199999973,-48.52897200000007,0,0,212.6448606579179,1222.540784831137,0.17393682345516953,-212.6448606579179,-1,-1,0,0,-42.52897213158394,-5.0,-1.0,0.0,0.0
52000906,J,16,6,10+,6,True,-0.9314586874999975,-14.90333899999996,0,1,-55.48330616492058,2863.9413571216483,-0.019373059447237793,55.48330616492058,-5,-4,1,1,11.096661232985753,-25.0,-4.0,0.0,3.0
